date,Apple_Price,Apple_Vol.,sentiment_score
11-04-2019,64.38,103270000.0,0.0
11-05-2019,64.28,79900000.0,0.0
11-06-2019,64.31,75860000.0,0.0
11-07-2019,64.86,94940000.0,0.0
11-08-2019,65.03,70080000.0,0.0
11-11-2019,65.55,82030000.0,0.0
11-12-2019,65.49,87390000.0,0.0
11-13-2019,66.12,103270000.0,0.0
11-14-2019,65.66,89580000.0,0.0
11-15-2019,66.44,100370000.0,0.0
11-18-2019,66.78,86800000.0,0.0
11-19-2019,66.57,76280000.0,0.0
11-20-2019,65.8,106440000.0,0.0
11-21-2019,65.5,121400000.0,0.0
11-22-2019,65.44,65330000.0,0.0
11-25-2019,66.59,84120000.0,0.0
11-26-2019,66.07,105340000.0,0.0
11-27-2019,66.96,65540000.00000001,0.0
11-28-2019,66.96,65540000.00000001,0.0
11-29-2019,66.81,46620000.0,0.0
12-02-2019,66.04,94770000.0,0.0
12-03-2019,64.86,117510000.0,0.0
12-04-2019,65.44,67240000.0,0.0
12-05-2019,66.39,74650000.0,0.0
12-06-2019,67.68,106190000.0,0.0
12-09-2019,66.73,128730000.0,0.0
12-10-2019,67.12,90530000.0,0.0
12-11-2019,67.69,78890000.0,0.0
12-12-2019,67.86,137750000.0,0.0
12-13-2019,68.79,133730000.0,0.0
12-16-2019,69.97,128320000.0,0.0
12-17-2019,70.1,114300000.0,0.0
12-18-2019,69.94,116100000.0,0.0
12-19-2019,70.0,98510000.0,0.0
12-20-2019,69.86,276130000.0,0.0
12-23-2019,71.0,98710000.0,0.0
12-24-2019,71.07,48480000.0,0.0
12-25-2019,71.07,48480000.0,0.0
12-26-2019,72.48,93340000.0,0.0
12-27-2019,72.45,146370000.0,0.0
12-30-2019,72.88,144240000.0,0.0
12-31-2019,73.41,100990000.0,0.0
01-01-2020,73.41,100990000.0,0.0
01-02-2020,75.09,135650000.0,0.0
01-03-2020,74.36,146540000.0,0.0
01-06-2020,74.95,118580000.0,0.0
01-07-2020,74.6,111510000.0,0.0
01-08-2020,75.8,132360000.0,0.0
01-09-2020,77.41,170490000.0,0.0
01-10-2020,77.58,140870000.0,0.0
01-13-2020,79.24,122090000.0,0.0
01-14-2020,78.17,162610000.0,0.0
01-15-2020,77.83,121920000.0,0.0
01-16-2020,78.81,108830000.0,0.0
01-17-2020,79.68,137820000.0,0.0
01-20-2020,79.68,137820000.0,0.0
01-21-2020,79.14,110840000.0,0.0
01-22-2020,79.42,101830000.0,0.0
01-23-2020,79.81,104470000.0,0.0
01-24-2020,79.58,146540000.0,0.0
01-27-2020,77.24,161940000.0,0.0
01-28-2020,79.42,162230000.0,0.0
01-29-2020,81.08,216600000.0,0.0
01-30-2020,80.97,126740000.0,0.0
01-31-2020,77.38,199590000.0,0.0
02-03-2020,77.17,173990000.0,0.0
02-04-2020,79.71,136620000.0,0.0
02-05-2020,80.36,118830000.0,0.0
02-06-2020,81.3,105430000.0,0.0
02-07-2020,80.01,117680000.0,0.0
02-10-2020,80.39,109350000.0,0.0
02-11-2020,79.9,94320000.0,0.0
02-12-2020,81.8,113730000.0,0.0
02-13-2020,81.22,94750000.0,0.0
02-14-2020,81.24,80110000.0,0.0
02-17-2020,81.24,80110000.0,0.0
02-18-2020,79.75,152760000.0,0.0
02-19-2020,80.91,93980000.0,0.0
02-20-2020,80.08,100570000.0,0.0
02-21-2020,78.26,129710000.0,0.0
02-24-2020,74.55,222200000.0,0.0
02-25-2020,72.02,230670000.0,0.0
02-26-2020,73.16,198710000.0,0.0
02-27-2020,68.38,320610000.0,0.0
02-28-2020,68.34,426880000.0,0.0
03-02-2020,74.7,341400000.0,0.0
03-03-2020,72.33,319480000.0,0.0
03-04-2020,75.69,219180000.0,0.0
03-05-2020,73.23,187570000.0,0.0
03-06-2020,72.26,226180000.0,0.0
03-09-2020,66.54,286740000.0,0.0
03-10-2020,71.33,285290000.0,0.0
03-11-2020,68.86,256380000.0,0.0
03-12-2020,62.06,418470000.0,0.0
03-13-2020,69.49,370730000.0,0.0
03-16-2020,60.55,322420000.0,0.0
03-17-2020,63.22,324060000.0,0.0
03-18-2020,61.67,300230000.0,0.0
03-19-2020,61.2,271860000.0,0.0
03-20-2020,57.31,401690000.0,0.0
03-23-2020,56.09,336750000.0,-0.9966087713837624
03-24-2020,61.72,287530000.0,-0.03775848035002127
03-25-2020,61.38,303600000.0,0.0
03-26-2020,64.61,252560000.0,0.0
03-27-2020,61.94,204220000.0,0.9914196709287353
03-30-2020,63.7,167980000.0,0.9426246831426397
03-31-2020,63.57,197000000.0,0.0
04-01-2020,60.23,176220000.0,0.0
04-02-2020,61.23,165930000.0,0.0
04-03-2020,60.35,129880000.0,0.0
04-06-2020,65.62,201820000.0,0.0
04-07-2020,64.86,202890000.0,-0.9971692973049358
04-08-2020,66.52,168900000.0,0.9984793766052462
04-09-2020,67.0,162120000.0,0.7799467146396637
04-10-2020,67.0,162120000.0,0.0
04-13-2020,68.31,131020000.0,0.0
04-14-2020,71.76,194990000.0,0.0
04-15-2020,71.11,131150000.0,0.0
04-16-2020,71.67,157130000.0,0.0
04-17-2020,70.7,215250000.0,0.0
04-20-2020,69.23,130020000.0,0.0
04-21-2020,67.09,180990000.0,0.0
04-22-2020,69.03,117060000.0,0.0
04-23-2020,68.76,124810000.0,-0.9919405288528651
04-24-2020,70.74,126510000.0,0.019055627286434174
04-27-2020,70.79,117090000.0,0.9250460900366306
04-28-2020,69.64,112000000.0,-0.9978350260062143
04-29-2020,71.93,137280000.0,0.0
04-30-2020,73.45,183060000.0,-0.8239515721797943
05-01-2020,72.27,240620000.0,2.8379945433698595e-05
05-04-2020,73.29,133570000.0,0.0
05-05-2020,74.39,147750000.0,-0.5325363962911069
05-06-2020,75.16,142330000.0,0.9991128846304491
05-07-2020,75.94,115220000.0,0.0016544000245630741
05-08-2020,77.53,134050000.0,0.0
05-11-2020,78.75,145950000.0,0.0
05-12-2020,77.85,162300000.0,0.9994911745307036
05-13-2020,76.91,200620000.0,-0.9961881187045947
05-14-2020,77.39,158930000.0,0.4895370523445308
05-15-2020,76.93,166350000.0,-0.0006898961146362126
05-18-2020,78.74,135370000.0,-0.9960882712621242
05-19-2020,78.28,101730000.0,0.9994536011508899
05-20-2020,79.81,111500000.0,0.9977847642730922
05-21-2020,79.21,102690000.0,0.0
05-22-2020,79.72,81800000.0,0.0
05-25-2020,79.72,81800000.0,0.0
05-26-2020,79.72,81800000.0,0.0
05-27-2020,79.53,112950000.0,0.0
05-28-2020,79.56,133800000.0,0.9978678500046954
05-29-2020,79.48,153600000.0,0.0
06-01-2020,80.46,81020000.0,0.0
06-02-2020,80.83,87640000.0,0.0
06-03-2020,81.28,104490000.0,0.0
06-04-2020,80.58,87560000.0,0.0
06-05-2020,82.88,137250000.0,0.0
06-08-2020,83.36,95650000.0,0.0
06-09-2020,86.0,147710000.0,0.0
06-10-2020,88.21,166650000.0,0.9539859850192443
06-11-2020,83.97,201660000.0,0.0
06-12-2020,84.7,200150000.0,0.0
06-15-2020,85.75,138810000.0,0.9993783563550096
06-16-2020,88.02,165430000.0,0.0
06-17-2020,87.9,114410000.0,0.0
06-18-2020,87.93,96820000.0,0.0
06-19-2020,87.43,264480000.00000003,0.039945421303855255
06-22-2020,89.72,135450000.0,0.0
06-23-2020,91.63,212160000.0,0.0
06-24-2020,90.02,192620000.0,-0.9820819888263941
06-25-2020,91.21,137520000.0,0.0
06-26-2020,88.41,205260000.0,0.0
06-29-2020,90.44,130650000.0,-1.9472830899758264e-05
06-30-2020,91.2,140220000.0,0.0
07-01-2020,91.03,110740000.0,0.0
07-02-2020,91.03,114040000.0,0.07716423633974046
07-03-2020,91.03,114040000.0,0.4580143988132477
07-06-2020,91.03,114040000.0,0.0
07-07-2020,93.17,112420000.0,0.9994941179465968
