date,Apple_Price,Apple_Vol.,sentiment_class
04-10-23,162.03,47030000.0,0.0649999999999999
04-06-23,164.66,45390000.0,0.065
04-05-23,163.76,51300000.0,0.093
04-04-23,165.63,44430000.0,0.106
04-03-23,166.17,54970000.0,0.031
03-31-23,164.9,68750000.0,0.2
03-30-23,162.36,46810000.0,0.0
03-29-23,160.77,51310000.0,-0.077
03-28-23,157.65,45580000.0,0.119
03-27-23,158.28,50420000.0,0.1149999999999999
03-24-23,160.25,59260000.0,0.117
03-23-23,158.93,67220000.0,0.0589999999999999
03-22-23,157.83,69170000.0,-0.097
03-21-23,159.28,73760000.0,0.064
03-20-23,157.4,73470000.0,0.0829999999999999
03-17-23,155.0,98940000.0,0.022
03-16-23,155.85,76020000.0,0.03
03-15-23,152.99,75960000.0,-0.13
03-14-23,152.59,73370000.0,0.047
03-13-23,150.47,84460000.0,0.043
03-10-23,148.5,68570000.0,-0.17
03-09-23,150.59,53450000.0,0.094
03-08-23,152.87,47200000.0,0.066
03-07-23,151.6,56180000.0,0.0
03-06-23,153.83,87560000.0,0.177
03-03-23,151.03,70500000.0,0.0
03-02-23,145.91,52090000.0,0.107
03-01-23,145.31,55220000.0,0.072
02-28-23,147.41,50550000.0,0.0
02-27-23,147.92,45000000.0,0.156
02-24-23,146.71,55470000.0,0.157
02-23-23,149.4,48390000.0,0.1099999999999999
02-22-23,148.91,51010000.0,-0.116
02-21-23,148.48,58870000.0,-0.073
02-17-23,152.55,59140000.0,0.0
02-16-23,153.71,66840000.0,-0.072
02-15-23,155.33,65470000.0,0.099
02-14-23,153.2,61710000.0,0.144
02-13-23,153.85,61860000.0,0.0199999999999999
02-10-23,151.01,57450000.0,0.0
02-09-23,150.87,54900000.0,0.034
02-08-23,151.92,63470000.0,0.088
02-07-23,154.65,83030000.0,-0.05
02-06-23,151.73,68020000.0,0.08
02-03-23,154.5,154360000.0,0.104
02-02-23,150.82,104480000.0,0.0
02-01-23,145.43,76770000.0,-0.045
01-31-23,144.29,65870000.00000001,0.109
01-30-23,143.0,62980000.0,0.126
01-27-23,145.93,70560000.0,0.0
01-26-23,143.96,53650000.0,0.121
01-25-23,141.86,64690000.0,0.087
01-24-23,142.53,63710000.0,-0.034
01-23-23,141.11,81570000.0,0.137
01-20-23,137.87,80220000.0,0.231
01-19-23,135.27,58070000.0,0.075
01-18-23,135.21,69670000.0,0.0
