date,Apple_Price,Apple_Vol.
2020-03-26,64.61,252560000.0
2020-03-27,61.94,204220000.0
2020-03-30,63.7,167980000.0
2020-03-31,63.57,197000000.0
2020-04-01,60.23,176220000.0
2020-04-02,61.23,165930000.0
2020-04-03,60.35,129880000.0
2020-04-06,65.62,201820000.0
2020-04-07,64.86,202890000.0
2020-04-08,66.52,168900000.0
2020-04-09,67.0,162120000.0
2020-04-10,67.0,162120000.0
2020-04-13,68.31,131020000.0
2020-04-14,71.76,194990000.0
2020-04-15,71.11,131150000.0
2020-04-16,71.67,157130000.0
2020-04-17,70.7,215250000.0
2020-04-20,69.23,130020000.0
2020-04-21,67.09,180990000.0
2020-04-22,69.03,117060000.0
2020-04-23,68.76,124810000.0
2020-04-24,70.74,126510000.0
2020-04-27,70.79,117090000.0
2020-04-28,69.64,112000000.0
2020-04-29,71.93,137280000.0
2020-04-30,73.45,183060000.0
2020-05-01,72.27,240620000.0
2020-05-04,73.29,133570000.0
2020-05-05,74.39,147750000.0
2020-05-06,75.16,142330000.0
2020-05-07,75.94,115220000.0
2020-05-08,77.53,134050000.0
2020-05-11,78.75,145950000.0
2020-05-12,77.85,162300000.0
2020-05-13,76.91,200620000.0
2020-05-14,77.39,158930000.0
2020-05-15,76.93,166350000.0
2020-05-18,78.74,135370000.0
2020-05-19,78.28,101730000.0
2020-05-20,79.81,111500000.0
2020-05-21,79.21,102690000.0
2020-05-22,79.72,81800000.0
2020-05-25,79.72,81800000.0
2020-05-26,79.72,81800000.0
2020-05-27,79.53,112950000.0
2020-05-28,79.56,133800000.0
2020-05-29,79.48,153600000.0
2020-06-01,80.46,81020000.0
2020-06-02,80.83,87640000.0
2020-06-03,81.28,104490000.0
2020-06-04,80.58,87560000.0
2020-06-05,82.88,137250000.0
2020-06-08,83.36,95650000.0
2020-06-09,86.0,147710000.0
2020-06-10,88.21,166650000.0
2020-06-11,83.97,201660000.0
2020-06-12,84.7,200150000.0
2020-06-15,85.75,138810000.0
2020-06-16,88.02,165430000.0
2020-06-17,87.9,114410000.0
2020-06-18,87.93,96820000.0
2020-06-19,87.43,264480000.00000003
2020-06-22,89.72,135450000.0
2020-06-23,91.63,212160000.0
2020-06-24,90.02,192620000.0
2020-06-25,91.21,137520000.0
2020-06-26,88.41,205260000.0
2020-06-29,90.44,130650000.0
2020-06-30,91.2,140220000.0
2020-07-01,91.03,110740000.0
2020-07-02,91.03,114040000.0
2020-07-03,91.03,114040000.0
2020-07-06,91.03,114040000.0
2020-07-07,93.17,112420000.0
2020-07-08,95.34,117090000.0
2020-07-09,95.68,125640000.0
2020-07-10,95.92,90260000.0
2020-07-13,95.48,191650000.0
2020-07-14,97.06,170990000.0
2020-07-15,97.72,153200000.0
2020-07-16,96.52,110580000.0
2020-07-17,96.33,92190000.0
2020-07-20,98.36,90320000.0
2020-07-21,97.0,103650000.0
2020-07-22,97.27,89000000.0
2020-07-23,92.84,197000000.0
2020-07-24,92.61,185440000.0
2020-07-27,94.81,121210000.0
2020-07-28,93.25,103630000.0
2020-07-29,95.04,90330000.0
2020-07-30,96.19,158130000.0
2020-07-31,106.26,374300000.0
2020-08-03,108.94,308150000.0
2020-08-04,109.67,172790000.0
2020-08-05,110.06,121990000.0
2020-08-06,113.9,202430000.0
2020-08-07,111.11,198050000.0
2020-08-10,112.73,212400000.0
2020-08-11,109.38,187900000.0
2020-08-12,113.01,165940000.0
2020-08-13,115.01,210080000.0
2020-08-14,114.91,165570000.0
2020-08-17,114.61,119560000.0
2020-08-18,115.56,105630000.0
2020-08-19,115.71,145540000.0
2020-08-20,118.28,126910000.0
2020-08-21,124.37,338050000.0
2020-08-24,125.86,345940000.0
2020-08-25,124.83,211500000.0
2020-08-26,126.52,163020000.0
2020-08-27,125.01,155550000.0
2020-08-28,124.81,187630000.0
2020-08-31,129.04,225700000.0
2020-09-01,134.18,152470000.0
2020-09-02,131.4,200120000.0
2020-09-03,120.88,257600000.00000003
2020-09-04,120.96,332610000.0
2020-09-07,120.96,332610000.0
2020-09-08,120.96,332610000.0
2020-09-09,117.32,176940000.0
2020-09-10,113.49,182270000.0
2020-09-11,112.0,180860000.0
2020-09-14,115.36,140150000.0
2020-09-15,115.54,184640000.0
2020-09-16,112.13,155030000.0
2020-09-17,110.34,178010000.0
2020-09-18,106.84,287100000.0
2020-09-21,110.08,195710000.0
2020-09-22,111.81,183060000.0
2020-09-23,107.12,150720000.0
2020-09-24,108.22,167740000.0
2020-09-25,112.28,149980000.0
2020-09-28,114.96,137670000.0
2020-09-29,114.09,100060000.0
2020-09-30,115.81,142680000.0
2020-10-01,116.79,116120000.0
2020-10-02,113.02,144710000.0
2020-10-05,116.5,106240000.0
2020-10-06,113.16,161500000.0
2020-10-07,115.08,96850000.0
2020-10-08,114.97,83480000.0
2020-10-09,116.97,100510000.0
2020-10-12,124.4,240230000.0
2020-10-13,121.1,262330000.0
2020-10-14,121.19,151060000.0
2020-10-15,120.71,112560000.0
2020-10-16,119.02,115390000.0
2020-10-19,115.98,120640000.0
2020-10-20,117.51,124420000.0
2020-10-21,116.87,89950000.0
2020-10-22,115.75,101990000.0
2020-10-23,115.04,82570000.0
2020-10-26,115.05,111850000.0
2020-10-27,116.6,92280000.0
2020-10-28,111.2,143940000.0
2020-10-29,115.32,146130000.0
2020-10-30,108.86,190570000.0
2020-11-02,108.77,122870000.0
2020-11-03,110.44,107620000.0
2020-11-04,114.95,138240000.0
2020-11-05,119.03,126390000.0
2020-11-06,118.69,114460000.0
2020-11-09,116.32,154520000.0
2020-11-10,115.97,138020000.0
2020-11-11,119.49,112300000.0
2020-11-12,119.21,103350000.0
2020-11-13,119.26,81690000.0
2020-11-16,120.3,91180000.0
2020-11-17,119.39,74270000.0
2020-11-18,118.03,76320000.0
2020-11-19,118.64,74110000.0
2020-11-20,117.34,73600000.0
2020-11-23,113.85,127960000.0
2020-11-24,115.17,113870000.0
2020-11-25,116.03,76500000.0
2020-11-26,116.03,76500000.0
2020-11-27,116.03,76500000.0
2020-11-30,119.05,169410000.0
2020-12-01,122.72,128170000.0
2020-12-02,123.08,89000000.0
2020-12-03,122.94,78970000.0
2020-12-04,122.25,78260000.0
2020-12-07,123.75,86710000.0
2020-12-08,124.38,82230000.0
2020-12-09,121.78,115090000.0
2020-12-10,123.24,81310000.0
2020-12-11,122.41,86940000.0
2020-12-14,121.78,79080000.0
2020-12-15,127.88,157570000.0
2020-12-16,127.81,98210000.0
2020-12-17,128.7,94360000.0
2020-12-18,126.65,192540000.0
2020-12-21,128.23,121250000.0
2020-12-22,131.88,169350000.0
2020-12-23,130.96,88220000.0
2020-12-24,131.97,54930000.0
2020-12-25,131.97,54930000.0
2020-12-28,136.69,124490000.0
2020-12-29,134.87,121050000.0
2020-12-30,133.72,96450000.0
2020-12-31,132.69,99120000.0
2021-01-01,132.69,99120000.0
2021-01-04,129.41,143300000.0
2021-01-05,131.01,97670000.0
2021-01-06,126.6,155090000.0
2021-01-07,130.92,109580000.0
2021-01-08,132.05,105160000.0
2021-01-11,128.98,100620000.0
